guid,expression,meaning,add reverse?,kana,mnemonic,notes,tags
pfA86FZ]xA,五分,five minutes,Y,ごふん,,,"_and_生, _先, Genki, Kanji_Practice, lesson-6, 分"
Ek*HWnF=g*,十分,ten minutes,Y,じゅっぷん／じっぷん,,,"_and_生, _先, Genki, Kanji_Practice, lesson-6, 分"
M`k?O4u#f%,百五十円になります。,It will be 150 yen.,N,,,,"At_the_Post_Office, Genki, lesson-5, Useful_Expressions"
o`lLu!e1%n,まっすぐ行く,Go straight,Y,まっすぐいき,,,"Directions, Genki, leech, lesson-6, Useful_Expressions"
"Q,64i!|?M%",左に曲がる,Turn left,Y,ひだりにまがる,,,"Directions, Genki, lesson-6, Useful_Expressions"
gyvl[J.Iq/,右に曲がる,Turn right,Y,みぎにまがる,,,"Directions, Genki, lesson-6, Useful_Expressions"
E63F.-8B6^,道を渡る,Cross the street,Y,みちをわたる,,,"Directions, Genki, leech, lesson-6, Useful_Expressions"
bavY;/-()w,あの,Um...,Y,,,,Genki
uC:?ffJc8~,いま,now,Y,,,,Genki
Gl?(k!eL6A,えいご,English (language),Y,,,,Genki
DGMgDZA?ll,ええ,yes,Y,,,,Genki
m-3$DZ?$yN,がくせい,student,Y,,,,Genki
Bd#|%y|bo9,～ご,...language,Y,,,,Genki
Q{H?X0M{$0,こうこう,high school,Y,,,,Genki
t~}!0Q-s@},～さい,...years old,Y,,,,Genki
xEB=&&=}Hf,～さん,Mr./Ms....,Y,,,,Genki
c-7N!N`v0C,～じん,...people,Y,,,,Genki
pZ)T:e{rOY,せんこう,major,Y,,,,"Genki, leech"
e15]0/4gkR,せんせい,Teacher / Professor,Y,,,,Genki
c2oN?w|(W6,そうです,That's right.,Y,,,,Genki
m]@O9n}GHd,そうですか,I see.; Is that so?,Y,,,,Genki
rhfi4.P@:L,だいがく,college; university,Y,,,,Genki
h^Y(+v4f>_,でんわ,telephone,Y,,,,Genki
"El]ukpS,9;",ともだち,friend,Y,,,,Genki
tuynsnI_12,なまえ,name,Y,,,,Genki
vx#590L5pA,なん／なに,what,Y,,,,Genki
Gx/JVUhrp$,～ねんせい,...year student,Y,,,,Genki
D&+V10uV^-,はい,Yes,Y,,,,Genki
uyyvuJOZdA,はん,half,Y,,,,Genki
q292i|by$0,ばんごう,number,Y,,,,Genki
tbI-oa((FN,りゅうがくせい,international student,Y,,,,Genki
vb|T[pgm5/,わたし,I,Y,,,,Genki
fZ27zNB.1^,アメリカ,U.S.A.,Y,,,,"Countries, Genki"
p=5K8a~qBW,イギリス,Britain,Y,,,,"Countries, Genki"
Al.95Zv)fT,オーストラリア,Australia,Y,,,,"Countries, Genki"
rav{$)g2m%,かんこく,Korea,Y,,,,"Countries, Genki"
P`h(j:Pl*?,スウェーデン,Sweden,Y,,,,"Countries, Genki"
Oyl=|`Me`l,ちゅうごく,China,Y,,,,"Countries, Genki"
I9~0ED@Ut1,かがく,science,Y,,,,"Genki, Majors"
b;V[KQkJ^.,アジアけんきゅう,Asian studies,Y,,,,"Genki, Majors"
FTY@BDWy4,けいざい,economics,Y,,,,"Genki, Majors"
P_*nAxH5{M,こくさいかんけい,international relations,Y,,,,"Genki, Majors"
A(j~|%UkSp,コンピューター,computer,Y,,,,"Genki, Majors"
nR]?n3{3?),じんるいがく,anthropology,Y,,,,"Genki, Majors"
k%S:39}l1H,せいじ,politics,Y,,,,"Genki, Majors"
JYZFJbV]BU,ビジネス,Business,Y,,,,"Genki, Majors"
J*jxxRKC1Z,ぶんがく,literature,Y,,,,"Genki, leech, Majors"
C3e|3+NDlU,れきし,history,Y,,,,"Genki, Majors"
J[C}>FQ)w$,しごと,job; work; occupation,Y,,,,"Genki, Occupations"
C9&H<|(Jp&,いしゃ,doctor,Y,,,,"Genki, Occupations"
LdyPdXF0?P,かいしゃいん,office worker,Y,,,,"Genki, Occupations"
MtV`e+mV)k,こうこうせい,high school student,Y,,,,"Genki, Occupations"
z{=lVwsW17,しゅふ,housewife,Y,,,,"Genki, Occupations"
m}vM<Y@W{6,だいがくいんせい,graduate student,Y,,,,"Genki, leech, Occupations"
n!GCg%SMJf,だいがくせい,college student,Y,,,,"Genki, Occupations"
vS&y/-~7.W,べんごし,lawyer,Y,,,,"Genki, leech, Occupations"
"ecSEG^BS,]",おかあさん,mother,Y,,,,"Family, Genki"
u]s$qruvf5,おとうさん,father,Y,,,,"Family, Genki"
mc()ZM>d}K,おねえさん,older sister,Y,,,,"Family, Genki"
h#=E=Ka>YN,おにいさん,older brother,Y,,,,"Family, Genki"
"q.p&}2~,,+",いもうと,younger sister,Y,,,,"Family, Genki, leech"
v@RC5#dv|d,おとうと,younger brother,Y,,,,"Family, Genki"
yWWgz0QcH{,三つ,Three things,Y,みっつ,,,"Genki, Japanese::Counters::つ, Kanji_Practice, 三_and_四"
tL>aIG6)Fw,オレンジジュース,Orange Juice,Y,,,,"Genki, Katakana_Practice"
pnhe.QuXbn,フライドポテト,French Fries,Y,,,,"Genki, Katakana_Practice"
MuI~bcA^+=,ケーキ,Cake,Y,,,,"Genki, Katakana_Practice"
BIgJi82s$&,サラダ,Salad,Y,,,,"Genki, Katakana_Practice"
v$av={RLWJ,チョコレートパフェ,Chocolate Parfait,Y,,,,"Genki, Katakana_Practice, lesson-2, Word_Match"
c>`T^o52~Y,コーヒー,Coffee,Y,,,,"Genki, Katakana_Practice"
J7Coa{5HL=,サンドイッチ,Sandwich,Y,,,,"Genki, Katakana_Practice"
C3;Y{H{qci,ステーキ,Steak,Y,,,,"Genki, Katakana_Practice"
O(]EGE%0EA,スパゲッティ,Spaghetti,Y,,,,"Genki, Katakana_Practice"
n6;mIPBze^,ピザ,Pizza,Y,,,,"Genki, Katakana_Practice"
qJHek45x^/,トースト,Toast,Y,,,,"Genki, Katakana_Practice"
kjD}is8fR@,レモンティー,Lemon Tea,Y,,,,"Genki, Katakana_Practice"
O?nFCJ]XWw,円高,Strong Yen,Y,えんだか,,,"Genki, Kanji_Practice, 円_and_時"
:g$IJ#J|`,円い,round,Y,まるい,,,"Genki, Kanji_Practice, leech, 円_and_時"
OadHG1z{ug,日本,Japan,Y,にほん,,,"Genki, Kanji_Practice, lesson-4, 日_and_本"
"mXy(Me,!,m",時計,watch,Y,とけい,,,"Genki, Kanji_Practice, 円_and_時"
wc@WgayTH5,ウィーン,Vienna,Y,,,,"Genki, Katakana_Practice, lesson-5, Match_the_Words"
