guid,radical,radical number,numbers of strokes,alternative,meaning,reading,tags
q7m{D)w![%,辰,161,7,(None)<br>Example: 辱 農,Morning,たつ・しんのたつ,Japanese::Kanji::Radicals
j*{>^Dq|li,隶,171,8,(None)<br>Example: 隸 隺,"Slave, Capture",たい・たいづくり・れいづくり・れいのつくり,Japanese::Kanji::Radicals
hh.;l^g[O|,牙,92,4,(None)<br>Example: 芽 呀 牚,Fang,きば・きばへん,"Japanese::Kanji::Radicals, leech"
"l8&ALa,qC2",凵,17,2,(None)<br>Example: 凶出函,"Container, Open Mouth",かんにょう・うけばこ・かんがまえ,Japanese::Kanji::Radicals
vkwr]>9*TR,屮,45,3,(None)<br>Example: 屯,Sprout,くさのめ・めばえ・てつ,Japanese::Kanji::Radicals
Kb}]dt!aF^,缶,121,6,(None)<br>Example: 缶 缸 窑 陶,"Can, Earthenware Jar",ほとぎ・ほとぎへん,Japanese::Kanji::Radicals
j91.XoXrDN,玄,95,5,(None)<br>Example: 弦玆,"Dark, Profound",げん,"Japanese::Kanji::Radicals, leech"
p<dFkp2Z}],龍,212,16,竜<br>Example: 龖 龘,Dragon,りゅう,Japanese::Kanji::Radicals
"CysZ}le-,w",龜,213,16,亀<br>Example: 龝,"Turtle, Tortoise",かめ,Japanese::Kanji::Radicals
nPK6icF)7I,无,71,4,旡<br>Example: 无 旡 既 旣,Have Not,む・むにょう・すでのつくり,"Japanese::Kanji::Radicals, leech"
ukG}qhp~<),鬥,191,10,(None)<br>Example: 鬧 鬪,Fight,たたかいがまえ・とうがまえ,Japanese::Kanji::Radicals
ibs2mF.rBZ,臼,134,6,(None)<br>Example: 桕 舅 舂 鼠 插,Mortar,うす,Japanese::Kanji::Radicals
F)0wA;=DqU,虍,141,6,(None)<br>Example: 虎 虐 彪 虒,Tiger Stripes,とら・とらがしら・とらかんむり,Japanese::Kanji::Radicals
C~Byu{|_46,鬲,193,10,(None)<br>Example: 鬶 鬷 鬸,"Tripod, Cauldron",れき・れきのかなえ,Japanese::Kanji::Radicals
